"","ID_IPEDS","year","degree_bach","public","enroll_futg","grant_state","grant_federal","netprice"
"204",221281,2011,FALSE,TRUE,321,624892,1594316,7050
"205",221333,2011,FALSE,TRUE,236,259430,606004,9006
"206",221351,2011,TRUE,FALSE,545,759000,611850,27273
"207",221388,2011,FALSE,TRUE,174,4000,562063,8304
"208",221397,2011,FALSE,TRUE,1068,1759339,2945243,8280
"209",221430,2011,FALSE,TRUE,236,423240,870750,5221
"210",221485,2011,FALSE,TRUE,1844,820473,5570112,5571
"211",221494,2011,FALSE,TRUE,621,626650,595030,5956
"212",221519,2011,TRUE,FALSE,433,538000,394011,24172
"213",221582,2011,FALSE,TRUE,239,279215,742421,5935
"214",221591,2011,FALSE,TRUE,279,331298,1316613,9389
"215",221607,2011,FALSE,TRUE,115,122268,247038,8543
"216",221616,2011,FALSE,TRUE,474,803777,1786342,6074
"217",221625,2011,FALSE,TRUE,442,623503,1038399,4198
"218",221634,2011,FALSE,TRUE,243,391856,1090435,10410
"219",221643,2011,FALSE,TRUE,1771,2165673,4057538,10612
"220",221661,2011,TRUE,FALSE,638,496665,967287,19890
"221",221731,2011,TRUE,FALSE,206,745062,369005,11453
"222",221740,2011,TRUE,TRUE,2170,9048394,3310647,12390
"223",221759,2011,TRUE,TRUE,4175,17631969,5606038,15298
"224",221768,2011,TRUE,TRUE,1290,5606666,2970296,8897
"225",221795,2011,TRUE,FALSE,57,17000,115500,27703
"226",221829,2011,FALSE,FALSE,159,0,235820,9260
"227",221838,2011,TRUE,TRUE,1144,1860057,4536920,8264
"228",221847,2011,TRUE,TRUE,1951,8210222,3248409,13062
"229",221892,2011,TRUE,FALSE,262,554500,450542,18582
"230",221908,2011,FALSE,TRUE,967,1279174,2758664,7714
"231",221953,2011,TRUE,FALSE,298,784500,904703,17512
"232",221971,2011,TRUE,FALSE,470,1399131,815625,22514
"233",221999,2011,TRUE,FALSE,1600,941910,1114859,19667
"234",222026,2011,FALSE,FALSE,35,0,128812,8583
"235",222053,2011,FALSE,TRUE,1227,1415360,2834365,6638
"236",222062,2011,FALSE,TRUE,1356,2139023,3733640,4750
"237",222099,2011,FALSE,FALSE,312,40750,953366,10660
"238",222105,2011,FALSE,FALSE,28,0,34258,12250
"239",246202,2011,FALSE,FALSE,219,12945,803934,16848
"240",248660,2011,FALSE,FALSE,27,0,61575,11328
"241",248925,2011,FALSE,TRUE,647,970555,2431005,7332
"242",368443,2011,TRUE,FALSE,102,8871,369094,26130
"243",368452,2011,TRUE,FALSE,90,6000,108765,18440
"244",376631,2011,FALSE,FALSE,22,0,59575,11517
"245",376677,2011,FALSE,FALSE,80,0,372168,6982
"246",382771,2011,FALSE,FALSE,87,2000,280425,19285
"247",382780,2011,FALSE,FALSE,257,5300,774576,7416
"248",388043,2011,FALSE,FALSE,46,1333,235256,16503
"249",392798,2011,FALSE,FALSE,17,0,64946,8377
"250",392840,2011,TRUE,FALSE,73,76625,70227,26471
"251",404718,2011,FALSE,FALSE,80,0,189270,9554
"252",412599,2011,FALSE,FALSE,333,32280,1406358,22234
"253",416670,2011,FALSE,FALSE,110,0,397980,11382
"254",417789,2011,FALSE,FALSE,145,0,625725,10023
"255",418870,2011,FALSE,FALSE,65,2000,291916,21255
"256",418889,2011,FALSE,FALSE,97,29798,173026,22011
